Common_name,Species,location,date_first record,first record source
CHRISTOPHER COLUMBUS,CM,Hermes ,21-08-2018,ABDAllah Taher - MM
CINDERELLA,EI,RAS MOHAMED ,4/18/2025,Daniela Fritz
CIUCA,CM,MARSA SHOUNA,5/2/2025,Micol Montagna
CLAUDIO,CM,TONDOBA,12/3/2024,REBECCA MONTANARI
CLAUS ,CM,MAKADI BAY,9/22/2024,Michael Weiss
Cleo,CM,Abu Dabbab,8/24/2011,HEPCA catalogue 2012
CLOROFILLA,CM,SHAMS ALAM,26-03-2022,EMILIO MANCUSO - CDMR
COCO,EI,Shab Abu Dabbab  ,30-05-2018,Christian Obst - CORAYA DIVERS
COCOLINA,CM,MANGROVE BAY,22/11/2024,Ela Vogt
CORAL,CM,MARSA SHOUNA,14/10/2020,Nina Eschner
COSIMO,CM,MARSA EGLA,4/30/2022,Miriam Tercon
CRUSH,CM,Marsa Mubarak,13-10-2018,Mariska van der Paauw - MM
CUCCY,EI,Makadi Bay,01-06-2016,Ralph Hasselbach
DABB2 EI,EI,Abu Dabbab,01-01-2009,Michaela Sladkova - FB
DABB3 EI,EI,Abu Dabbab,04-04-2018,Michaela Sladkova - FB
DABB4 EI,EI,Abu Dabbab,12-05-2012,Michaela Sladkova - FB
DABB5 EI,EI,Abu Dabbab,01-05-2015,Ivana Zimova - FB
Dabbab,EI,Jackson Reef,14-06-2008,HEPCA catalogue 2012
DAED1 EI,EI,Daedalus Reef,01-10-2011,Mariska van der Paauw - MM
DAGGI,CM,LAHAMI BAY,6/5/2023,Dagmar Hauptmann
DAGIMA,CM,LAHAMI BAY,11/12/2022,Dagimar Hauptmann
DAGIR,EI,Gabel Rosas,26-08-2017,Dagmara Karow - FB
Daju,CM,MARSA MUBARAK,1/8/2025,DOREen Hofmann
Dalí,CM,MARSA ABU DABBAB,6-4-2021,MICOL M
DALIA,EI,NAama Bay,25/10/2023,Anita StoPPINI
DAMAR,CM,Lahami Bay - buoy 2,02-02-2019,mohamed mustafa hassan ali - BARA
DANIEL ,EI,"GORAL GARDEN HR SAFAGA, GASSOUS BAY",9/11/2023,Claudia Straube
DANIELA,CM,HERMES,8/4/2024,HUSSEIN SALEH
Daniëlle,CM,Gorgonia HR,10-08-2016,Sylvia Van Bakel
Dario,CM,Abu Dabbab,7/3/2016,Mauro Giacomelli -MM
DASA,CM,Shams Alam,23-05-2019,Martin Kašpar
DAVE,EI,"Eel garden, Lighthouse",12-03-2012,Simone Reich
DAVID,CM,Fayrouz,03-10-2016,Ivana Zimova - FB
DAVIDE,CM,Wadi el Gimal North - Island,25-10-2019,DAVIDE CARBONE
DAZZER ,EI,JACKFISH ALLEY,6/22/2022,Darren England
DEA,CM,MARSA SHOUNA,9/10/2019,Nina Eschner
DEEP,CM,SHAMS ALAM,6/15/2023,Monika Černohousová
DENISE,CM,MARSA ABU DABBAB,5/2/2021,Abdallah Taher - MM
DIANA,EI,Makadi Bay,08-2017,Diana Rupp
DICKIE,EI,MAKADI,04-06-2022,Shelley Palmer
Didier,CM,Abu Dabbab,7/20/2016,Micol M
DIMITRI,CM,Shams Alam,09-05-2018,Grzeszczuk Anna 
DINA,EI,MARSA MUBARAK,31/5/2025,Nina Eschner
Dinara,EI,Sharm el Noga,1/1/2018,Yahya Deif
DOMENICO,CM,TONDOBA,14/12/2022,MICOL MONTAGNA
DONATELLO,CM,Hermes,08-04-2019,AbDAllah Taher - MM
DONNA,EI,UMM GAMAR,5/17/2023,Nicole LiNDEGGER
DORI,CM,MARSA MUBARAK,4/13/2025,Marion Schönian
DORINITA,EI,MARSA TOROMBI,6/26/2024,DOREen Hofmann
DORIS,CM,MARSA SHAGRA,4/23/2023,SARAH O'GORMAN
Dörte,EI,Sahl El Hasheesh,09-07-2019,Johann Vifian - SUBX
DORY,CM,Marsa Mubarak,15-06-2011,Benny Van Laere - EXTRA DIVERS
DOTTY,CM,Shams Alam,09-05-2018,Grzeszczuk Anna 
DTGASSCM1,CM,GASSOUS BAY,31/5/2019,Birgit Eichenseher
DTMAGAEI1,EI,MARSA ABU GALAWA,2-3-2021,AHMED fOUAD - RED SEA PROJECT
DTMANACM1,CM,MARSA NAKARI,10/28/2021,Hossam Abdelaziz
DTWALACM1,CM,LAHAMI BAY,1/13/2023,ARIANNA MATUOZZO
